Nom De L'application,Prix,Catégorie,Developpeur,Date De Sortie,Description
Docx and Doc Editor,0.99,Utilitaires et outils,SoftPard Tech,4/15/2019 2:14:16 PM,"A complete doc, docx, text opener and editor for Windows 10. It is lightweight, fast and secure app to create and edit your documents. 

#Features
- Save, print, export documents
- Word, Text, Rich Text Format, xml and html
- Multiple font and font size
- Font types: bold, italic, underline, color, highlight etc
- Text indent: left, center, right, auto arrange
- Bullet and numbering
- Quick look and replace
- Insert: table, image, hyperlink
- Multiple view mode: page view, continuous, fit page and width etc
- Auto spelling correction
- Add comments
- Templates for word
- Native windows app
- Extremely easy to use

# Supported Formats
- doc, docx, rtf, txt, xml, htm, html

Download now and get lifetime full feature access and new feature update for app."
FLV Player+ - FLV to MP4,0.99,Photo et vidéo,IO Vision,9/20/2023 1:06:09 PM,"Best FLV player - play and manage FLV videos.
Also support input formats: 3gp, 3g2, asf, avi, m2ts, mts, m4v, mkv, mov, mp4, m4a, m4p, m4b, m4r, mpeg, mpg, wm, wmv, aac, aiff, aifc, aif, au, flac, mp2, mp3, wav, wma, wv.
Convert FLV to MP4 - FLV to MP3.

CORE FEATURES

+ Play FLV videos.
+ Play FLV videos from DVD discs.
+ Help to organize videos with:
        - Display recently played media.
        - Manage media folders by adding and removing.
+ Convert FLV video to MP4 and MP3.
+ Rotate video when playing and converting.
+ Offer mild privacy protection with:
        - Blurring thumbnails of videos and hiding media titles.
        - Clearing private media from Recent.
        - Setting PIN to prevent nosy access to private videos and music."
Racing Wheel,4.99,Affaires,TM Software,12/18/2021 1:48:57 AM,Connect and Configure your Racing Wheel to your Windows PC.
Python Package Installer,4.99,Outils de développement,Aria Vision,10/6/2023 5:15:14 AM,"The Python Package Installer is a game-changer for programmers, particularly addressing one of their key challenges: the efficient management and installation of Python packages. This tool, with its user-friendly graphical interface, significantly streamlines this process. It enables users to swiftly search for, select, and install the Python packages they need with just a few simple clicks.

A standout feature of this tool is the ability to choose between different versions of a package. Users have the flexibility to install either the latest version or a specific one of their choosing. Additionally, every installation command executed is displayed in a text box, allowing for meticulous monitoring of the installation process.

Another important aspect of this tool is its console panel, which displays the installation output. This feature enables users to observe the installation process in real time. Moreover, there is a progress bar that indicates the current status of the installation, adding to the tool's convenience.

Before initiating the installation, the tool checks for an internet connection to ensure access to PyPI (Python Package Index). Furthermore, if users enter import lines related to the desired packages, the application automatically identifies and installs the corresponding packages, eliminating the need to know the exact package names.

The latest enhancements to this tool include the ability to view all installed packages, automatically check for the latest released versions of each package, and update to the latest or a specific version. Users can also access the most recent documentation for each package, including usage guides, installation instructions, and a variety of examples. Additionally, the tool offers the functionality to uninstall packages that are no longer needed.

To effectively use this application, it is required that your system has Python and pip pre-installed, and you should have access to the internet. It is also recommended to run the application as an administrator for optimal functionality. This tool is essential for Python developers, helping them to save time and focus more on coding rather than the intricacies of installing and updating packages."
No Frills Checkbook,2.99,Finances personnelles,Samsop Software,5/8/2018 10:40:04 PM,A basic bank account management program.  Keep track of transactions across multiple accounts and balance those accounts at the end of each month.  Categorize transactions.  Split transactions into subcategories for better reporting.
Input Logger - Log Keyboard and Mouse,2.99,Utilitaires et outils,Evlar,5/8/2023 4:22:43 AM,"Input Logger - Log Keyboard and Mouse is a powerful and intuitive application designed to track and record all your keyboard and mouse activity on your Windows device. Whether you're a professional user looking to keep a record of your work, or a curious individual who wants to analyze their daily computer habits, Input Logger is the ideal tool for you.

With Input Logger, you can easily monitor and log every key press and mouse click event on your computer, and analyze the data to gain insights into your usage patterns. The app is easy to use and runs silently in the background, making it an ideal solution for both personal and professional use.

Features:
- Log all keyboard and mouse activity: Input Logger tracks and records all keystrokes and mouse clicks, giving you a detailed log of your computer usage.
- Secure and private: Input Logger is designed with security in mind and does not transmit any data outside of your computer. All data is stored locally on your device, and you have complete control over who can access it.
- Easy to use: Input Logger is designed with simplicity in mind, and the user-friendly interface makes it easy to navigate and use the app without any prior experience.

Input Logger - Log Keyboard and Mouse is the perfect solution for anyone looking to keep a record of their computer activity, gain insights into their usage patterns, and enhance their productivity. With its user-friendly interface, customizable settings, and comprehensive logs, Input Logger is a must-have tool for anyone who spends time on their computer. 

So why wait? Download Input Logger today and start tracking your keyboard and mouse activity like a pro!"
HD HEVC Player,3.29,Utilitaires et outils,herbert Studio,8/29/2022 4:13:28 PM,"Not only video but also other popular video, audio and image file formats can be played easily with this HEVC player. Provides you with more functions during playback such as video speed, reverse video, remove audio from video, add text to video, etc."
EPUB to PDF Pro,19.99,Utilitaires et outils,"Canyua Software Technology Co., Ltd.",10/18/2021 8:46:29 AM,"Universal EPUB E-Book Reader & Converter!

EPUB to PDF Pro is a must-have app for anyone who reads, converts EPUB E-Book. After you convert into PDF, It will allow you to insert new text, image, table and shape (line, dashed line, rectangle, round rectangle, oval, triangle, diamond, pentagon, circle, arrow, star, etc. ). Moreover, EPUB to PDF Pro provides the best experience for editing & creating of PDF documents.

With EPUB to PDF Pro you can:

- Read EPUB E-Book-
Each EPUB E-Book document will be processed with high accuracy, all of the document original format and layout can be kept successfully, you can easily view it from one page to another. EPUB to PDF Pro supports page zoom in/out. 

- Edit PDF -
EPUB to PDF Pro allows you insert new text, image, table and shape object. You can create rich text and table, you can change the text font, size, color, fill, border, rotation, etc. You also can easily cut/copy/paste object, reorder and insert new page, set page background, bring to front and send to back object, so that you can rearrange these elements. All of these will be very convenient for your editing.

- Create PDF -
EPUB to PDF Pro has powerful editing tools, you can use master page feature to improve document editing efficiency. You can start a new document with different paper size (A3, A4, A5, B4, B5, US Letter, Legal, Executive and Customized size).

- Reorder page -
EPUB to PDF Pro can easily insert new page, delete and reorder page.

- Convert EPUB E-Book -
EPUB to PDF Pro supports the converting of Adobe PDF, Image (JPG).

- Object library - 
EPUB to PDF Pro has text, image, table and shape PDF element, you can insert new element, and change it style from its right click menu.

This converter cannot support encrypted or protected E-Book files!

For any question, suggestions, or bugs, please email us at support@canyua.com. We cannot respond directly to user reviews, so we encourage you to email us directly for the fastest response. We want to hear your thoughts and make improvements to future versions of this app to kept you happy. We plan to make active updates powered by your love and support! Every bit helps! :)"
SimpleOne Label Maker Pro,29.99,Productivité,Aidaluu Inc.,7/5/2021 8:19:36 PM,"Advanced label designer with support for data import, automation tags and bulk label generations.  Compatible with hundreds of label sizes.

SimpleOne Label Maker is available in both standard and Pro editions.   **This is the Pro Edition**
The Pro edition supports all features available in standard plus the following advanced Pro-only features:
- Multi-page editor
- Print in both portrait & landscape (new landscape mode allows you to rotate label sheets to print labels ""sideways"")
- Import data in CSV format
- Generate labels in batch using imported data and personalization tags
- Automation tags for dates and timestamps
- Automation tags for number counters with customizable start and interval
- Automation tags for generating unique identifiers
- Customize default font size and style
- Supports printing of label layout grids to blank sheets
- Save labels for multiple sheets at a time"
Photo Editor (͏Pro),7.99,Utilitaires et outils,Beta­,6/27/2022 9:08:10 AM,"Photo Editor Pro is a pre-eminent, powerful and flexible Image Editor that perfectly satisfies the needs of even the pickiest user. Whether you are a graphic designer, photographer, illustrator, or scientist, Photo Editor Pro provides you with sophisticated tools to get your job done.

This application collected the most useful tools of Adobe Photoshop, Adobe Illustrator, Corel, Canva, Rebelle, ArtRage, Photopea, Sketch, PicsArt, Krita, Facetune, AirBrush and other popular Image Editors.

The program packs an array of professional-quality features. Its remarkable montage features allow the user to easily adjust photos/images and create artwork from scratch.

HIGH-QUALITY PHOTO MANIPULATION:
Photo Editor Pro provides the tools needed for high-quality image manipulation. From retouching to restoring to creative composites, the only limit is your imagination.

ORIGINAL ARTWORK CREATION:
Photo Editor Pro gives artists the power and flexibility to transform images into truly unique creations.

GRAPHIC DESIGN ELEMENTS:
Photo Editor Pro is used for producing icons, graphical design elements, and art for user interface components and mockups.

KEY COMPONENT IN A DESKTOP PUBLISHING WORKFLOW:
Photo Editor Pro provides top-notch color management features to ensure high-fidelity color reproduction across digital and printed media."
ISO Image Creator PRO,2.99,Productivité,Yellow Elephant Productions,8/14/2018 8:16:41 AM,"ISO Image Creator PRO - Solution puissante pour créer des fichiers image ISO à partir de tous les CD, DVD et disques Blu-ray! Vous pouvez également convertir à partir de disques externes, après cela, choisissez l'emplacement souhaité pour enregistrer les fichiers reçus sur votre disque dur.

ISO Image Creator PRO fournit la meilleure expérience ainsi qu'une belle interface pour une utilisation vraiment confortable. Il n'a jamais été aussi facile d'extraire des images à partir de disques!

Créez des fichiers ISO sans aucune limite! Appréciez ISO Image Creator PRO!



⚠️ Notre application ne prend pas en charge Windows 10 S. Il s'agit d'une version spéciale conçue pour les établissements d'enseignement, en particulier les étudiants et les enseignants. Merci de votre compréhension."
Human Japanese Intermediate,12.72,Éducation,Brak Software,8/9/2014 6:12:40 AM,"Human Japanese Intermediate will take your Japanese language skills to the next level. If you liked the first HJ, you'll love Intermediate. (And if you're new to Human Japanese, welcome aboard! Find a full list of content by chapter at www.humanjapanese.com/intermediate.)

Like its predecessor, Human Japanese Intermediate is built on the idea that the best way to learn and truly comprehend Japanese is to have it explained by someone who speaks your language. Core concepts are explained in a friendly, down-to-earth tone, with frequent comparisons to similar aspects of English. With humor and warmth, it demystifies and illuminates the real nuts-and-bolts of the language--not just vocabulary and canned phrases like many other products.

Explanations come alive with deeply interwoven interactive example sentences--more than 2600 in total--so that you can immediately see and hear exactly what you're learning.

Stay on track with INGREDIENTS™ example sentence breakdowns. Next to every sentence is an icon that provides an instantaneous, simultaneous lookup of every word in the sentence, even conjugated forms! That means you'll never lose your flow in the middle of an interesting discussion just because you've momentarily forgotten the meaning of a word.

Solve the chicken-and-egg aspect of kanji with our integrated approach that carefully explains how everything works and then dynamically changes the ""spellings"" of words to either kana, kanji, or kanji with furigana to match what you've learned at that point.

Stay sharp with five different kinds of quizzes that track your history to help you focus on trouble spots.

We care deeply about helping you to grow in your understanding of Japanese. Whether you've worked through the original Human Japanese app or have come from a different background, it will be our pleasure and privilege to be your guide on the next stage of your journey. Hajimemashou!"
CyberLink Media Player 18,39.99,Photo et vidéo,CyberLink Corp.,1/8/2019 12:00:00 AM,"CyberLink Media Player est le seul logiciel pour film, vidéo et audio dont vous avez besoin pour les PC Windows. Profitez de vidéos sur votre ordinateur portable avec des couleurs plus vives, un meilleur contraste et une résolution plus nettes grâce à  la technologies brevetées TrueTheater de CyberLink. Les audiophiles peuvent se plonger dans l'audio de haute fidélité Dolby et DTS.

Avec le Media Player de CyberLink, vous pouvez également diffuser du contenu multimédia à partir de votre ordinateur vers votre téléviseur grâce à des dispositifs de diffusion populaires - Fire TV, Roku, Chromecast et Apple TV. De plus, tout ce que vous diffusez sur votre téléviseur peut également être améliorés via la technologie TrueTheater, pour une expérience de home cinéma ultime.

CyberLink Media Player est également parfait pour le bureau. La fenêtre miniature épinglable vous permet de regarder discrètement vos films préférés et séries TV dans une interface minimalisé, ou les regarder avec sous-titres pour encore plus de discrétion.

Vous pouvez même profiter de vidéos ou photos immersives en 360 degrés sur votre petit écran. Visualiser tous angles simultanément, même sans casque VR, pour ne jamais rien manquer.

CyberLink Media Player ne prend pas en charge la lecture de disque (DVD, Blu-ray ou Blu-ray Disc UHD), mais il supporte une large gamme de formats et codecs vidéo les plus populaires. Voir la liste ci-dessous:

Prise en charge vidéos
264, 265, 26L, 3G2, 3GP, 3GP2, 3GPP, ASF, AVC, AVI, BSF, DIV, DIVX, DVR-MS, FLV (codec H.264), H264, H265, HEVC, JSV, JVT, M1V, M2P, M2T, M2TS, M2V, M4V, MKV, MOD, MOV (H.264, H.265 codec), MP4, MP4V, MPE, MPEG, MPG, MPV, MTS, QT, TOD, TP, TPD, TRP, TS, TTS, VOB, VRO, WM, WMV
HDR 10 vidéo (H.265 en MP4, MKV et M2TS, support graphique de périphérique Graphics, Nécessite un décodage HEVC et HDR10)

Prise en charge Audio
DTS (uniquement dans les fichiers vidéo), AC3 (DD, DD +, uniquement dans les fichiers vidéo), AAC, ADTS, AOB, APE, DTS, FLAC (fichier musique uniquement), M4A (AAC, codec ALAC), MID, MKA, MP2 , MP3, MPA, OGG, RMI, WAV, WMA

Prise en charge de photos
BMP, JPEG, JPG, PNG, TIF, TIFF, ARW, CR2, CRW, DCR, DNG, ERF, KDC, MEF, MRW, NEF, ORF, PEF, RAF, RAW, RW2, SR2, SRF, X3F

Prise en charge de sous-titres
SubRip (.srt), PowerDivX (* .psb), MicroDVD (* .SUB), SunViewer (* .SUB), SubStation Alpha (* .SSA, * .ass), SAMI (* .SMI), VobSub (. sous + .idx), wmv (sous-titres intégrés: SSA, ASS, SRT, PGS), VobSub MP4 (VobSub, texte incorporé-Timed / MPEG4 PARTIE-17)

(Ne supporte pas la lecture de contenu protégé CPRM / DTCP-IP.)
(Veuillez noter que Windows 10 S n'est pas encore supporté)"
Horloge de flip intelligente en plein écran,1.29,Utilitaires et outils,Cainey Studio,1/24/2023 10:24:11 AM,"L'horloge Smart Flip en plein écran est un logiciel d'horloge très pratique. Le logiciel a une horloge numérique avec un effet de retournement de page dynamique, ce qui peut faire de l'affichage entier une horloge numérique. Lorsque le temps changera, il y aura un effet de retournement de page. Ouvrez-le librement à tout moment, vous permettant de faire un bureau comme aucun autre!"
Creative GPT: AI-Powered Content Creation,9.99,Utilitaires et outils,Neon TM,11/13/2023 2:21:13 PM,"Important: This app requires Microsoft Visual C++ Redistributable and WebView2. Both will be installed automatically if you have Edge Browser.

Creative GPT is not your typical content creation tool. It comes with a unique and distinctive personality that sets it apart from others in the market.

Unlike conventional tools, this AI has a personality that may be quite different and unexpected. It has its own way of answering questions and expressing opinions. You might find its personality to be quirky, witty, or even a bit eccentric. Interacting with it can be an enjoyable and entertaining experience, making content creation more engaging.

It's important to keep in mind that this AI's personality is designed to add a touch of fun and creativity to your content creation process. While it may present responses differently, it's all part of the charm of Creative GPT. Embrace its unique personality and use it as a source of inspiration for your content.

Remember that despite its distinct personality, the primary goal of AI Creative GPT is to assist you in generating high-quality content efficiently. Enjoy the experience, learn from its insights, and make the necessary adjustments to create content that aligns with your vision and objectives.

Additionally, it's important to note that while the Creative GPT may have a unique personality, it is crucial not to take any perceived threats or negative statements too seriously. The AI's responses are generated based on algorithms and data, and any seemingly threatening language should be interpreted within the context of its programmed personality."
Asteroids 4K Live Wallpaper,1.99,Personnalisation,rolling coders,1/20/2020 9:19:36 PM,"With Asteroids 4K Live Wallpaper you will see the awesomeness of a wonderfoul Asteroids, with full details, you will be able to relax while enjoying the view of this splendid Asteroids.

The application will start in full screen mode, so you can se it as screensaver, just leave it open, you can also use it in window mode."
MOV Player,4.99,Affaires,Media Apps Group,7/15/2021 4:29:48 AM,Play MOV (.mov) Video files on your Windows PC.
DNG to JPG - ProRAW - Batch Image Converter,3.69,Photo et vidéo,IO Stream,5/6/2022 5:24:35 AM,"Convert DNG to JPG - DNG to PNG - support ProRAW.
Also convert DNG to PNG/PNG8, JPG/JPEG, GIF, BMP, ICO, WEBP, PBM, PCX, WBMP.

💡 Convert multiple files at once, there's no limit to how many files.
🔒 All processing is performed locally on your computer where your files remain safe and private.

Optimize output file size and image quality;
Quick preview DNG images;
Buy once and keep forever;

## CORE FEATURES

Convert DNG to JPG and

## OPTIMIZE OUTPUT IMAGES

Not only a DNG to JPG converter, but also optimize size and quality output images.

DNG to PNG converter supports optimization options:
• Support lossless compression options to make your output image size smaller, keep highest quality.

DCR to PNG8 supports optimization options:
• Support lossless compression options to make your output image size smaller, keep highest quality.
• Interlaced: support interlaced, non-interlaced PNG.
• Adjust number of colors in color palette.
• Support 2 dithering methods.

DNG to JPG/JPEG converter supports optimization options:
• Quality: adjust lossy compression quality, to make jpg output image file size smaller than PNG file size, better for storage and SEO purpose.
• Progressive: choose the way to encode and display image - JPEG progressive vs JPEG baseline.

DNG to GIF converter supports optimization options:
• Adjust number of colors in color palette.
• Support 2 dithering methods.

DNG to ICO converter supports optimization options:
• Multiple sizes icon: choose multiple image sizes to embed in 1 ICO.
• ICO size fit options: Contain, Cover, Fill.

DNG to WEBP converter supports optimization options:
• Number of methods: to use to compress image, software will choose the best of result, the more methods, the more chance to make output image size smaller, the more time consumed.
• Keep the image's background transparent or change them to opaque (choose a color to fill).
• Lossless WebP compression:
•• Lossless compression support near lossless compression method (experimental).
•• Choose image source type (default, photo, picture, graph), and the software will choose the best way to process your image.
• Lossy WebP compression:
•• Lossy compression quality: lower quality but smaller file size or vise versa.

## COMMON IMAGE OPTIMIZATION OPTIONS

• Support Brightness and White Balance settings to make display color correctly.
• Support option to remove potentially privacy-compromising metadata (EXIF, IPTC, XMP) from image and to keep the output file size smaller.
• Simple options ""Make Default"" for easier usage.
• Resize output images (keep aspect ratio and ignore aspect ratio).

## MULTIPLE DNG CONVERSION AT ONCE & SINGLE FILE PROCESS

• Save time with multiple files processed at once.
• Or focusing on a single image.
• Batch convert between PNG and JPG."
"PDF Manager - Merge, Split, Trim",9.99,Productivité,User Camp,12/8/2017 12:21:03 AM,"Merge, split, extract, and combine PDFs with PDF Manager! An ""Essential App"" as selected by the Microsoft Store.

PDF Manager is a powerful, easy-to-use app for merging and editing PDF files.

Merge, reorder, and split pages across multiple documents. Extract, rotate, and delete pages instantly, or combine PDFs, all in just a few clicks.

Download PDF Manager today and take control of your PDF files.

--

PDF Manager's team can support your enterprise deployment. See our Enterprise page for more detail."
WS Monitor Controls,0.99,Utilitaires et outils,WizardSoft,4/1/2021 9:41:17 AM,"The product requires the following:
Monitors supporting DDC/CI commands.

* WS Monitor Controls
This utility gives you easy access to your display configuration controls directly from Windows. Adjust the monitor's brightness, contrast and color temperature without having to reach for small and cumbersome physical monitor buttons. Lower the brightness in the evening to prevent eye strain.

* GUI Menu (WIN+F3)
The menu of WS Monitor Controls is accessible through the Windows System Tray (the area left to the clock) and gives quick access to display controls. The shortcut for the menu is WIN+F3. If the icon is hidden behind the 'Show hidden icons'-arrow, you can simply drag it to a visible part of the systray.

Available controls:
-Menu
  -File
    -Save...  Saves current monitor settings to file
	-Browse Storage  Open storage folder in Windows Explorer
	-Quit
	-Followed by a list of previously saved monitor settings which can be loaded
  -Help
    -Help...  Show this readme
	-About
-Monitor selection dropdown
-Reset Settings button (factory defaults)
-Brightness percentage slider
-Contrast percentage slider
-Volume percentage slider (adjust the volume of the monitor's build-in speakers, if available.
-Input Source selection (DP 1, DP 2, HDMI 1, HDMI 2, DVI 1, DVI 2, VGA)
-Color Temperature selection (custom, 4000K, 5000K, 6500K, 7500K, 8200K, 9300K, 10000K and 11500K)
  -Custom:  3 additional color sliders appear to set the red, green and blue intensity individually.

You can use the usual keyboard keys:
-TAB/SHIFT+TAB to switch controls
-Cursor keys to select values
-PageUp/PageDown with sliders to increase/decrease value with 10%

When using the sliders you can optionally hold CTRL to change the value for all attached monitors.

WSMonitor.exe command line parameters:
/load name  Load monitor settings from file
/save name  Save current monitor settings to file"
Nero Burning ROM - All-in-One Disc Burn Solution,49.99,Utilitaires et outils,Nero AG,1/9/2018 8:53:20 AM,"Avec la technologie de gravure éprouvée de Nero Burning ROM, établissez de nouvelles normes.

Vous souhaitez copier et importer des données et de la musique pour les graver sur votre type de disque préféré ? Vous voulez créer des disques en toute fiabilité et sécurité ? Aucun problème ! La dernière version de Nero Burning ROM s'appuie sur SecurDisc 4.0 et bien plus encore pour vous offrir les meilleurs résultats.


Extraction

Vous avez le choix : vous cherchez à accéder à vos CD audio et vos morceaux de musique individuels sur votre PC, votre smartphone ou votre lecteur MP3 ? Convertissez-les en fichiers au format voulu en un rien de temps ! Nero Burning ROM vous propose une offre complète, des MP3 et MP3 PRO aux formats AAC, FLAC et APE, titres de chansons et informations sur les albums inclus. Grâce à la technologie Gracenote® intégrée, les pochettes d'album originales sont intégrées au fichier audio. Vous pouvez ainsi parcourir facilement vos listes de lecture et écouter votre musique à votre guise.



Copie

Passez des moments média encore plus agréables : vous aimeriez partager vos films et pouvoir écouter vos tubes préférés à tout moment, aussi bien dans la voiture que le salon ? Copiez* des CD, des DVD et des Blu-ray Discs™, en bénéficiant d'une qualité et d'un son aussi bons que l'original. Vous pouvez également copier des CD audio en toute simplicité, notamment le texte du CD, les détails et la couverture de l'album d'origine.

* Réservé au contenu non protégé contre la copie



Gravure

Mettez le feu au multimédia : Que ce soit pour immortaliser vos souvenirs préférés sur CD, DVD ou Blu-ray Discs™, pour graver tous types de disques, vous devez avoir accès à la meilleure solution spécialisée de sa catégorie. Créez des images ISO ou gravez vos structures de disque vidéo et vos images disque sur de nouveaux supports de données. Grâce aux filtres et autres réglages, ainsi qu'à l'amélioration automatique du son vous permettant de l'adapter à votre goût, les CD audio gravés proposent une plus grande richesse sonore. De plus, grâce à la technologie Gracenote®, vous disposez maintenant aussi des pochettes d'album originales sur MP3 CD et MP3 DVD pour votre nouvel autoradio. 



Protection

Protégez les choses qui vous sont chères : bénéficiez d'un niveau de sécurité professionnel. Avec la technologie SecurDisc 4.0, vos fichiers sont entre de bonnes mains. Grâce au cryptage 256 bits, à la signature numérique et la protection par mot de passe conformes aux normes du secteur, vous seul pouvez accéder à vos archives de données gravées. Nero étant à la pointe de la durabilité et de la lisibilité, même les disques rayés seront toujours lisibles grâce à la redondance des données réglable."
Compress - Video Compressor,0.99,Productivité,Federico Gratti,3/9/2021 12:49:04 PM,"New: Compress is completely free. The Microsoft Store version is identical to the free version and there are no features left out of the free version. Purchasing the store version directly funds the development of Compress and shows your support. 
You can download the free version from our website: compress.ohzi.io

Compress is the easiest way to get your video files shrunk, and that is due to how the UI helps you get the job done. 

There are no menus, options, toolbars, output fields, or any other elements that would normally comprise an interface. You'll only find two buttons and a small message that instructs you on how to compress your file. A simple drag and drop is enough to start the compression process.

Regarding the two buttons, they influence the end result. The default one is Faster Encode, which facilitate a quicker compression and reduce the most size. The other option, Better Quality, allows you to compress a video without sacrificing much quality. After a video is compressed, a new video file is created in the previously selected folder.

Compress is just that type of app that you'll probably stick with for many years, as its simple interface and efficient process will win you over."
T-Cast Screen Mirror,4.99,Affaires,TV PC Apps,12/17/2022 2:06:10 AM,Screen Mirror your TCL TV to your Windows PC.
Hearing Control App,4.99,Affaires,Audio Solutions.,10/14/2022 1:01:28 AM,"Pair your Starkey Hearing Aid to your Windows PC.

* Compatible with all Starkey hearing aids."
Desk Clock - Desktop Clock Widget,2.99,Divertissement,Evlar,1/24/2023 12:43:10 PM,"Looking for a stylish clock widget for your desktop? Look no further. Desk Clock is an incredibly well-designed desktop widget to suit your needs!

No more having to use ugly and outdated clock widgets. This app renders any of your installed fonts with crisp high resolution, featuring automatic startup, supports all installed fonts, and subtle animations as your seconds tick by.

Try out Desk Clock and never look back!"
GECO - MIDI Gesture Control,14.99,Musique,Uwyn LLC,7/6/2023 3:25:19 PM,"GECO is one of the easiest and most powerful solutions to interact with MIDI and OSC through touchless control.

Our custom multi-staged processing engine ensures an extremely low processing overhead and near zero latency, while still providing you with beautiful real-time visual feedback and powerful customization capabilities. GECO has been designed for live performance and quick configuration during rehearsal by industry professionals that have years of experience with high-speed low-latency electronic music and MIDI.

IMPORTANT: GECO requires an external Leap Motion Controller device for gesture detection and doesn't produce or manipulate sound directly."
MC Epub Reader,2.99,Livres et référence,MCStudio,6/10/2020 11:27:24 AM,"MC Epub Reader is an EPUB files viewer which can help you to open and read ePub e-books and documents. The software interface consists of two parts, the left will show document chapter directory and the right is a browser to show document content."
Horloge de bureau multifonctionnelle,2.89,Social,Cheerful,11/16/2023 4:01:56 PM,"Widgets d'horloge et de date pour Windows Desktop
widget en temps réel
Sélectionne un thème
mode clair / sombre
Radius de frontière réglé
Définir la valeur d'opacité
ON / OFF TRAGING ET DROP
rayon de frontière
Pulvérisateur activé / désactivé
Horloge et date en temps réel
Widgets personnalisés
Utilise une mémoire très basse
basse dimension"
Atomic Clock,1.99,Utilitaires et outils,Stefan vd,9/13/2023 5:16:23 AM,"Stay on top of your schedule and add a touch of elegance to your Windows 11 desktop with the Atomic Clock Windows 11 Widget, available now at the Microsoft Store. This sleek and versatile widget brings the power of precise timekeeping right to your fingertips, enhancing your computing experience like never before. That is built for Surface Go, Surface Pro, Surface Laptop Go, Surface Laptop, Surface Laptop Studio, and Surface Studio. Download the app now and enjoy seamless battery monitoring and optimization!

Elegant Time Display:
With the Atomic Clock Windows 11 Widget, you can effortlessly check the current time at a glance. Its clean and sophisticated design ensures that you always have access to accurate time information, making it an indispensable tool for your daily routines and productivity.

Stunning Background Wallpapers:
Elevate your desktop experience with a selection of beautiful background wallpapers that come with the widget. Whether you prefer serene landscapes, futuristic designs, or artistic abstractions, you can customize your backdrop to suit your mood and style.

Custom Colors and Styles:
Personalization is key, and the Atomic Clock Windows 11 Widget allows you to customize its appearance to match your preferences. Choose from a spectrum of colors and styles to create a widget that seamlessly integrates into your unique desktop environment.

Do not wait any longer to enhance your Windows 11 experience with the Atomic Clock Widget. Download it now from the Microsoft Store and transform your desktop into a functional and aesthetically pleasing timekeeping masterpiece."
Key Bot - Automatic Keyboard Presser,3.89,Utilitaires et outils,Evlar,5/29/2023 3:11:52 PM,"Key Bot is a powerful and efficient tool designed to simplify repetitive tasks and automate keyboard actions on your Windows device. Whether you're a gamer looking for an edge or a professional seeking increased productivity, Key Bot is here to save you time and effort.

Automate with Ease
Say goodbye to monotonous and tedious tasks. Key Bot allows you to automate keyboard inputs effortlessly. Define specific key combinations or individual keys to be pressed automatically, and let Key Bot handle the rest. Whether you need to perform rapid clicks, execute complex macros, or simulate keystrokes, Key Bot is your trusty companion.

Versatile and Customizable
Key Bot offers a wide range of customization options to suit your specific needs. Set the number of repetitions, adjust delays between keystrokes, and fine-tune the timing to achieve the desired results. The intuitive interface makes it easy to create and manage multiple automation profiles, allowing you to switch between them effortlessly.

Safe and Reliable
Rest assured, Key Bot has been developed with utmost care for your system's security and stability. The app operates within Windows guidelines and ensures that your data and privacy are protected.

Unleash the Power of Automation
With Key Bot - Automatic Keyboard Presser, you can free yourself from repetitive keyboard tasks and unlock a world of efficiency and convenience. Whether you're a gamer, a content creator, or a professional seeking automation tools, Key Bot is the perfect companion to streamline your workflow and elevate your performance.

Download Key Bot now and experience the ultimate convenience and power of automated keyboard actions on your Windows device!"
Bskd Office - Docs and Sheets,0.99,Utilitaires et outils,Wang Kelin Studio,2/28/2023 6:39:30 PM,"This software is an office suite tool, compatible with many document formats:MS Office (Word, Excel, Publisher & PowerPoint), WPS, Google Docs, Sheets & Slides, ODF, PDF, powerful and easy to use, it is your rare good helper.

1drv.ms/u/s!ApmA8dOEX-rziGt9r-lM0mp0BBwF?e=2onQhA"
M4A to MP3 - M4A to WAV,4.99,Musique,IO Stream,12/5/2022 5:15:28 AM,"Convert M4A audio to MP3, M4A to WAV.
Also support M4A to AAC, OGG, FLAC, M4A, M4B, CAF, AIFF, WMA, AC3, MP2 .
💡 Convert multiple files at once, there's no limit to how many files.
🔒 All processing is performed locally on your computer where your files remain safe and private.

Optimize output file size and audio quality;
Buy once and keep forever;

## CORE FEATURES

Convert M4A to MP3, M4A to WAV and formats: MP3, WAV, AAC, OGG, FLAC, M4A, M4B, CAF, AIFF, WMA, AC3, MP2 

## OPTIMIZE OUTPUT AUDIO

• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Audio codec options.
• Audio number of channels options.
• Audio sample rate options.
• Audio bitrate options.

## COMMON FEATURES

• Enable hardware acceleration to save time.
• Auto shutdown when completed.
• Save time with multiple files processed at once or focusing on a single audio."
